   0.00000000000       182.872811495    
   50000.0000000       193.559255315    
   100000.000000       205.340152834    
   150000.000000       218.136586254    
   200000.000000       231.784686010    
   250000.000000       246.038228130    
   300000.000000       260.610728416    
   350000.000000       275.252812310    
   400000.000000       289.834771915    
   450000.000000       304.390744703    
   500000.000000       319.096829486    
   550000.000000       334.194691719    
   600000.000000       349.905572840    
   650000.000000       366.380657542    
   700000.000000       383.705382812    
   750000.000000       401.943576537    
   800000.000000       421.192654225    
   850000.000000       441.623482529    
   900000.000000       463.489776087    
   950000.000000       487.105380417    
   1000000.00000       512.799622036    
   1050000.00000       540.873215462    
   1100000.00000       571.574539293    
   1150000.00000       605.093202950    
   1200000.00000       641.547527751    
   1250000.00000       680.940091476    
   1300000.00000       723.071719184    
   1350000.00000       767.517942483    
   1400000.00000       813.816934472    
   1450000.00000       861.931437810    
   1500000.00000       912.469069264    
   1550000.00000       966.120201905    
   1600000.00000       1022.95781467    
   1650000.00000       1082.61350715    
   1700000.00000       1144.96628172    
   1750000.00000       1210.37012254    
   1800000.00000       1279.57884471    
   1850000.00000       1353.01558898    
   1900000.00000       1429.89137260    
   1950000.00000       1509.07695770    
   2000000.00000       1589.99971096    
   2050000.00000       1671.75669985    
   2100000.00000       1752.94396967    
   2150000.00000       1832.66537828    
   2200000.00000       1910.25524844    
   2250000.00000       1982.94771165    
   2300000.00000       2047.76500893    
   2350000.00000       2110.25573049    
   2400000.00000       2180.53116895    
   2450000.00000       2260.58504064    
   2500000.00000       2343.97020719    
   2550000.00000       2429.46503615    
   2600000.00000       2515.29387597    
   2650000.00000       2600.08238590    
   2700000.00000       2686.34491235    
   2750000.00000       2777.18498441    
   2800000.00000       2876.00523685    
   2850000.00000       2982.85523956    
   2900000.00000       3093.91738315    
   2950000.00000       3204.15363354    
   3000000.00000       3309.69341377    
   3050000.00000       3410.92133356    
   3100000.00000       3510.97907050    
   3150000.00000       3612.07380746    
   3200000.00000       3717.29117414    
   3250000.00000       3831.37077337    
   3300000.00000       3958.87894674    
   3350000.00000       4101.31623581    
   3400000.00000       4252.63372001    
   3450000.00000       4408.57531520    
   3500000.00000       4567.85972169    
   3550000.00000       4711.01865723    
   3600000.00000       4836.82619977    
   3650000.00000       4963.37359658    
   3700000.00000       5097.40712844    
   3750000.00000       5230.30722123    
   3800000.00000       5339.52547092    
   3850000.00000       5448.22586923    
   3900000.00000       5573.78128025    
   3950000.00000       5693.76958919    
   4000000.00000       5788.94151619    
   4050000.00000       5876.04057924    
   4100000.00000       5977.95905231    
   4150000.00000       6112.69335290    
   4200000.00000       6241.79093763    
   4250000.00000       6349.42497012    
   4300000.00000       6458.67564005    
   4350000.00000       6589.65135467    
   4400000.00000       6761.17156016    
   4450000.00000       6911.08082789    
   4500000.00000       7081.05091015    
   4550000.00000       7332.87135487    
   4600000.00000       7512.92501484    
   4650000.00000       7717.34027735    
   4700000.00000       7908.09522444    
   4750000.00000       8035.42799956    
   4800000.00000       8145.80667669    
   4850000.00000       8260.65408104    
   4900000.00000       8363.07659114    
   4950000.00000       8485.72475155    
   5000000.00000       8554.41654856    
