 A  0.000000000000000E+000   9.90677048145737     
 B   500000.000000000        3.17971747070241     
 B   30901.6994374947        9.17841498911229     
 B   1909.83005625053        9.91764966891728     
 C   3090.16994374947        9.92012655999424     
 P   3401.14728079382        9.92023922794799     
 P   3904.31918186250        9.91994549496970     
   3090.16994374947        3401.14728079382        3904.31918186250     
   3401.14728079       9.92023922795    
   3593.34183656       9.92019643879    
   3282.36451288       9.92022274141    
   3401.48749551       9.92023922805    
   3401.82774425       9.92023922789    
