 0000   0.00000000000      0.184485873546E-02   0.00000000000      -31.5598103511      -31.5598051319      0.272609613275-316
 0000   0.00000000000      0.114018540295E-03   0.00000000000      -31.5598103511      -31.5598264635      0.272609613275-316
 0000   0.00000000000      0.114018540295E-03  0.184485873546E-03  -31.5598103511      -31.5598264635      -31.5598403040    
 0001  0.114018540295E-03  0.184485873546E-03  0.298504413841E-03  -31.5598264635      -31.5598403040      -31.5598504812    
 0002  0.298504413841E-03  0.318335348381E-03  0.350422474495E-03  -31.5598504812      -31.5598556838      -31.5598579727    
 0003  0.318335348381E-03  0.350422474495E-03  0.402340535150E-03  -31.5598556838      -31.5598579727      -31.5598601413    
 0004  0.350422474495E-03  0.402340535150E-03  0.486345721919E-03  -31.5598579727      -31.5598601413      -31.5598673778    
 0005  0.402340535150E-03  0.486345721919E-03  0.622268969343E-03  -31.5598601413      -31.5598673778      -31.5598805801    
 0006  0.486345721919E-03  0.622268969343E-03  0.842197403536E-03  -31.5598673778      -31.5598805801      -31.5598921261    
 0007  0.622268969343E-03  0.842197403536E-03  0.941520530136E-03  -31.5598805801      -31.5598921261      -31.5598914393    
