   0.00000000000      0.109159367156E-06  0.131279805777E-04 -0.967033043940E-19  0.107708506637E-01  0.999999999999      0.224379889618E-05  0.224379889615E-05  0.864038278537E-05
  0.625000000000E-01  0.109159367156E-06  0.131282898985E-04 -0.966912866276E-19  0.107704765827E-01   1.00121666604      0.224399110400E-05  0.224399110397E-05  0.864030769057E-05
  0.125000000000      0.109159367156E-06  0.131285996652E-04 -0.967015169431E-19  0.107701018396E-01   1.00243595398      0.224418358354E-05  0.224418358351E-05  0.864023249811E-05
  0.187500000000      0.109159367156E-06  0.131289098776E-04 -0.966933345470E-19  0.107697264378E-01   1.00365786950      0.224437633480E-05  0.224437633477E-05  0.864015720805E-05
  0.250000000000      0.109159367156E-06  0.131292205360E-04 -0.966548742555E-19  0.107693503733E-01   1.00488241806      0.224456935780E-05  0.224456935777E-05  0.864008182040E-05
  0.312500000000      0.109159367156E-06  0.131295316403E-04 -0.966680175046E-19  0.107689736403E-01   1.00610960549      0.224476265255E-05  0.224476265252E-05  0.864000633520E-05
  0.375000000000      0.109159367156E-06  0.131298431906E-04 -0.966580584737E-19  0.107685962004E-01   1.00733943730      0.224495621906E-05  0.224495621903E-05  0.863993075250E-05
  0.437500000000      0.109159367156E-06  0.131301551870E-04 -0.966599595300E-19  0.107682181138E-01   1.00857191925      0.224515005734E-05  0.224515005731E-05  0.863985507231E-05
  0.500000000000      0.109159367156E-06  0.131304676295E-04 -0.966627791502E-19  0.107678393782E-01   1.00980705749      0.224534416739E-05  0.224534416736E-05  0.863977929469E-05
  0.562500000000      0.109159367156E-06  0.131307805181E-04 -0.966631086639E-19  0.107674599541E-01   1.01104485755      0.224553854924E-05  0.224553854921E-05  0.863970341967E-05
  0.625000000000      0.109159367156E-06  0.131310938530E-04 -0.966309592601E-19  0.107670798541E-01   1.01228532538      0.224573320288E-05  0.224573320285E-05  0.863962744727E-05
  0.687500000000      0.109159367156E-06  0.131314076342E-04 -0.966452732602E-19  0.107666991054E-01   1.01352846649      0.224592812833E-05  0.224592812830E-05  0.863955137754E-05
  0.750000000000      0.109159367156E-06  0.131317218617E-04 -0.966366734501E-19  0.107663176933E-01   1.01477428662      0.224612332560E-05  0.224612332557E-05  0.863947521051E-05
  0.812500000000      0.109159367156E-06  0.131320365356E-04 -0.966525033378E-19  0.107659356286E-01   1.01602279202      0.224631879470E-05  0.224631879467E-05  0.863939894622E-05
  0.875000000000      0.109159367156E-06  0.131323516560E-04 -0.966522755231E-19  0.107655529044E-01   1.01727398832      0.224651453564E-05  0.224651453561E-05  0.863932258470E-05
  0.937500000000      0.109159367156E-06  0.131326672228E-04 -0.966412314621E-19  0.107651695588E-01   1.01852788155      0.224671054843E-05  0.224671054840E-05  0.863924612598E-05
   1.00000000000      0.109159367156E-06  0.131329832362E-04 -0.966410626358E-19  0.107647855805E-01   1.01978447747      0.224690683308E-05  0.224690683305E-05  0.863916957012E-05
   1.06250000000      0.109159367156E-06  0.131332996963E-04 -0.966525575304E-19  0.107644009482E-01   1.02104378157      0.224710338960E-05  0.224710338957E-05  0.863909291713E-05
