                   0  -2.96764079571       0.00000000000       0.00000000000    
                   1  -4.30004953892      0.181005692084E-03  0.534574735015    
                   2  -4.54978404128      0.442317965253E-04  0.198412485265    
                   3  -4.63779144002      0.195836268308E-04  0.113327840428    
                   4  -4.69376478074      0.101852087369E-04  0.890993312335E-01
                   5  -4.73328357436      0.920372445172E-05  0.736802868475E-01
                   6  -4.75750603357      0.540953866703E-05  0.535880380059E-01
                   7  -4.76140720069      0.712927770375E-04  0.866462074316E-02
                   8  -4.76496010128      0.399093333390E-05  0.112163130068E-01
                   9  -4.76796390107      0.553731240926E-04  0.761553548063E-02
                  10  -4.77059201109      0.301093450187E-05  0.873268581757E-02
                  11  -4.77296807258      0.434805894219E-04  0.676646233156E-02
                  12  -4.77484686574      0.260827092640E-05  0.686237674324E-02
                  13  -4.77660757408      0.318213777733E-04  0.584136863358E-02
                  14  -4.77783641846      0.254865590721E-05  0.549671660975E-02
                  15  -4.77897491473      0.186338311239E-04  0.475859520348E-02
                  16  -4.77970183090      0.271867623528E-05  0.396752388079E-02
                  17  -4.78040256847      0.108669481962E-04  0.367408594677E-02
                  18  -4.78106880972      0.265958855786E-05  0.365291340089E-02
                  19  -4.78172188673      0.100457981426E-04  0.352368533842E-02
                  20  -4.78236669916      0.260350371083E-05  0.356696653333E-02
                  21  -4.78300360340      0.983617511706E-05  0.347469077630E-02
                  22  -4.78364016648      0.254849332765E-05  0.353914710631E-02
                  23  -4.78426868735      0.973999875419E-05  0.344917287120E-02
                  24  -4.78489628876      0.249781309253E-05  0.350927520353E-02
                  25  -4.78551640261      0.964596890903E-05  0.342348184056E-02
                  26  -4.78613608694      0.244981672290E-05  0.348316490975E-02
                  27  -4.78674853507      0.956177084379E-05  0.339979628350E-02
                  28  -4.78736062949      0.240429708940E-05  0.345814229822E-02
                  29  -4.78796575149      0.948221731393E-05  0.337696104599E-02
                  30  -4.78857066336      0.236079856760E-05  0.343450215887E-02
                  31  -4.78916881258      0.940730231455E-05  0.335503845041E-02
                  32  -4.78976684698      0.231904345718E-05  0.341186562086E-02
                  33  -4.79035830365      0.933600900224E-05  0.333382996082E-02
                  34  -4.79094973273      0.227879227971E-05  0.339010984156E-02
                  35  -4.79153474460      0.926784959667E-05  0.331325382048E-02
                  36  -4.79211980215      0.223986310020E-05  0.336909141976E-02
                  37  -4.79269858517      0.920236833474E-05  0.329322727183E-02
                  38  -4.79327747920      0.220211053261E-05  0.334871379522E-02
                  39  -4.79385022681      0.913924245208E-05  0.327369313341E-02
                  40  -4.79442314426      0.216541976294E-05  0.332889846244E-02
                  41  -4.79499003192      0.907821909915E-05  0.325460605786E-02
                  42  -4.79555714375      0.212969889934E-05  0.330958637758E-02
                  43  -4.79611833317      0.901910851617E-05  0.323593209489E-02
                  44  -4.79667979780      0.209487396118E-05  0.329073182861E-02
                  45  -4.79723543990      0.896176598115E-05  0.321764523714E-02
                  46  -4.79779140593      0.206088473686E-05  0.327229986072E-02
                  47  -4.79834164317      0.890608182179E-05  0.319972571536E-02
                  48  -4.79889225143      0.202768167990E-05  0.325426356889E-02
                  49  -4.79943721956      0.885197244770E-05  0.318215836321E-02
                  50  -4.79998260466      0.199522347900E-05  0.323660225564E-02
                  51  -4.80052243400      0.879937411212E-05  0.316493152053E-02
                  52  -4.80106272549      0.196347522157E-05  0.321929987532E-02
                  53  -4.80159754192      0.874823761837E-05  0.314803607223E-02
                  54  -4.80213286516      0.193240695317E-05  0.320234393279E-02
                  55  -4.80266279087      0.869852482167E-05  0.313146483269E-02
                  56  -4.80319326769      0.190199259653E-05  0.318572456736E-02
                  57  -4.80371842171      0.865020554014E-05  0.311521198694E-02
                  58  -4.80424417089      0.187220910395E-05  0.316943390601E-02
                  59  -4.80476466950      0.860325556689E-05  0.309927273984E-02
                  60  -4.80528580717      0.184303581874E-05  0.315346553953E-02
                  61  -4.80580176420      0.855765497137E-05  0.308364300910E-02
                  62  -4.80631840408      0.181445397615E-05  0.313781415491E-02
                  63  -4.80682993115      0.851338702341E-05  0.306831924097E-02
                  64  -4.80734218476      0.178644633286E-05  0.312247522196E-02
                  65  -4.80784939145      0.847043715700E-05  0.305329822103E-02
                  66  -4.80835736827      0.175899686923E-05  0.310744479990E-02
                  67  -4.80886036225      0.842879248071E-05  0.303857698906E-02
                  68  -4.80936416987      0.173209056672E-05  0.309271937566E-02
                  69  -4.80986305695      0.838844130726E-05  0.302415276311E-02
                  70  -4.81036280114      0.170571324333E-05  0.307829572450E-02
                  71  -4.81085768543      0.834937268158E-05  0.301002284941E-02
                  72  -4.81135347018      0.167985141168E-05  0.306417085460E-02
                  73  -4.81184445410      0.831157635394E-05  0.299618464403E-02
                  74  -4.81233638177      0.165449218182E-05  0.305034192935E-02
                  75  -4.81282356609      0.827504251727E-05  0.298263558719E-02
                  76  -4.81331173738      0.162962318062E-05  0.303680622751E-02
                  77  -4.81379522133      0.823976173023E-05  0.296937315129E-02
                  78  -4.81427973535      0.160523248951E-05  0.302356111357E-02
                  79  -4.81475961660      0.820572485836E-05  0.295639483054E-02
                  80  -4.81524057095      0.158130859376E-05  0.301060402632E-02
                  81  -4.81571694566      0.817292309512E-05  0.294369814796E-02
                  82  -4.81619443644      0.155784034576E-05  0.299793245779E-02
                  83  -4.81666739932      0.814134789588E-05  0.293128064606E-02
                  84  -4.81714152116      0.153481693507E-05  0.298554394346E-02
                  85  -4.81761116549      0.811099096185E-05  0.291913988289E-02
                  86  -4.81808201160      0.151222786092E-05  0.297343606784E-02
                  87  -4.81854842928      0.808184431113E-05  0.290727344704E-02
                  88  -4.81901609150      0.149006291310E-05  0.296160645840E-02
                  89  -4.81947937305      0.805390026210E-05  0.289567895475E-02
                  90  -4.81994394188      0.146831215403E-05  0.295005279140E-02
                  91  -4.82040417652      0.802715148496E-05  0.288435406239E-02
                  92  -4.82086574115      0.144696590719E-05  0.293877278112E-02
                  93  -4.82132301683      0.800159094328E-05  0.287329645299E-02
                  94  -4.82178166518      0.142601474102E-05  0.292776420063E-02
                  95  -4.82223606859      0.797721203181E-05  0.286250386234E-02
                  96  -4.82269188738      0.140544945954E-05  0.291702487996E-02
                  97  -4.82314350403      0.795400856765E-05  0.285197408094E-02
                  98  -4.82359657878      0.138526109630E-05  0.290655269413E-02
                  99  -4.82404549299      0.793197471540E-05  0.284170493605E-02
                 100  -4.82449590809      0.136544090114E-05  0.289634558992E-02
