   6.28318530718       0.00000000000    
   12.5663706144      0.419692642618E-02
   18.8495559215      0.569576614769E-05
   25.1327412287      0.222498434412E-05
   31.4159265359      0.151350592987E-06
   37.6991118431      0.775779590121E-08
   43.9822971503      0.449106031692E-08
   50.2654824574      0.173617530238E-08
   56.5486677646      0.603702699863E-09
   62.8318530718      0.338194948851E-09
   69.1150383790      0.171766815887E-09
   75.3982236862      0.401890402664E-10
   81.6814089933      0.204023021747E-10
   87.9645943005      0.106457258845E-10
   94.2477796077      0.712675388878E-11
   100.530964915      0.365054848297E-11
   106.814150222      0.197357957963E-11
   113.097335529      0.127104860512E-11
   119.380520836      0.587913258537E-12
   125.663706144      0.467331929935E-12
   131.946891451      0.252056210060E-12
   138.230076758      0.154946459310E-12
   144.513262065      0.876800433942E-13
   150.796447372      0.654180109439E-13
   157.079632679      0.476718395656E-13
   163.362817987      0.228189815492E-13
   169.646003294      0.149689751387E-13
   175.929188601      0.111648754636E-13
   182.212373908      0.787663583043E-14
   188.495559215      0.477754250638E-14
   194.778744523      0.267642850137E-14
   201.061929830      0.292173995312E-14
   207.345115137      0.128256164038E-14
   213.628300444      0.102252457611E-14
   219.911485751      0.766843039504E-15
   226.194671058      0.477332548043E-15
   232.477856366      0.438638936061E-15
   238.761041673      0.236588037265E-15
   245.044226980      0.202693260856E-15
   251.327412287      0.149477421520E-15
   257.610597594      0.110211660173E-15
   263.893782902      0.769076124916E-16
   270.176968209      0.590256619985E-16
   276.460153516      0.416534101947E-16
   282.743338823      0.376104746928E-16
   289.026524130      0.234916451783E-16
   295.309709437      0.186731281873E-16
   301.592894745      0.113108980708E-16
   307.876080052      0.963507310022E-17
   314.159265359      0.682223893443E-17
   320.442450666      0.463508212033E-17
   326.725635973      0.341104738273E-17
   333.008821281      0.226631510222E-17
   339.292006588      0.177305566183E-17
   345.575191895      0.123157454623E-17
   351.858377202      0.840257756734E-18
   358.141562509      0.548931462521E-18
   364.424747816      0.354309843505E-18
   370.707933124      0.301081528739E-18
   376.991118431      0.234066084003E-18
   383.274303738      0.151695846812E-18
   389.557489045      0.101488595278E-18
   395.840674352      0.654320037048E-19
   402.123859659      0.470101521808E-19
   408.407044967      0.276927086495E-19
   414.690230274      0.165744760641E-19
   420.973415581      0.898062846850E-20
   427.256600888      0.585404781337E-20
   433.539786195      0.291456742996E-20
   439.822971503      0.246445129422E-20
   446.106156810      0.167315352949E-20
   452.389342117      0.116160247809E-20
   458.672527424      0.571085195242E-21
   464.955712731      0.312260774533E-21
   471.238898038      0.170934633030E-21
   477.522083346      0.126162135668E-21
   483.805268653      0.567620273039E-22
   490.088453960      0.159336243289E-22
   496.371639267      0.385956962357E-23
   502.654824574      0.138792252688E-23
   508.938009882      0.284195693875E-24
   515.221195189      0.157982952405E-25
   521.504380496      0.139434296015E-25
   527.787565803      0.328285425608E-27
   534.070751110      0.419759690283E-29
   540.353936417      0.394456994615E-32
   546.637121725      0.129325569871E-33
   552.920307032      0.236237606742E-36
   559.203492339      0.100621430214E-36
   565.486677646      0.908461590352E-37
   571.769862953      0.722052624657E-37
   578.053048261      0.489012402882E-37
   584.336233568      0.252436526062E-37
   590.619418875      0.202455908714E-37
   596.902604182      0.130297907218E-37
   603.185789489      0.705447674910E-38
   609.468974796      0.165971736524E-38
   615.752160104      0.129944200179E-38
   622.035345411      0.385944735933E-39
   628.318530718      0.547444548625E-40
   634.601716025      0.371304980749E-41
   640.884901332      0.798817730607E-42
   647.168086639      0.105715742611E-43
   653.451271947      0.129234635879E-46
   659.734457254      0.921022390745E-51
   666.017642561      0.431840551559E-53
   672.300827868      0.480108377120E-60
   678.584013175      0.468232143140E-69
   684.867198483      0.212826382588E-83
   691.150383790      0.452544445351E-91
   697.433569097      0.101997455242-118
   6.28318530718      0.170646768546E-41
   12.5663706144      0.419394404837E-02
   18.8495559215      0.849708118355E-05
