 # Tau J
   190.983005625       24.5333876110    
   199.027062937       24.5333619607    
   195.954506584       24.5333718513    
   194.055562274       24.5333779066    
   192.881950117       24.5333816269    
   192.156617895       24.5333839178    
   191.708337917       24.5333853304    
   191.431285646       24.5333862023    
   191.260057922       24.5333867407    
   191.154233366       24.5333870732    
   191.088830191       24.5333872787    
   191.048408806       24.5333874056    
   191.023427015       24.5333874841    
   191.004224673       24.5333875444    
