 A  0.000000000000000E+000   15.1568362403983     
 B   500000.000000000        4.93076944472576     
 B   30901.6994374947        15.0601155861086     
 B   1909.83005625053        15.2221022601863     
 C   3090.16994374947        15.2575989967524     
 P   13713.2289312400        15.4097954085823     
 P   13771.4300078554        15.4098073600792     
 P   13865.6013280010        15.4098081068240     
 P   13821.5758093291        15.4098106171672     
   13771.4300078554        13821.5758093291        13865.6013280010     
   13821.5758093       15.4098106172    
   13802.4218184       15.4098101421    
   13838.3920604       15.4098102508    
   13820.1935518       15.4098106147    
   13822.9580669       15.4098106147    
