                  0  -6.66119576278       0.00000000000       0.00000000000       0.00000000000                       0
                  1  -6.66138048895      0.157716090862E-03  0.954717337384E-03   0.00000000000                       3
                  2  -6.66148173621      0.121101790653E-03  0.860153971705E-03  0.713401026325                       0
                  3  -6.66156733506      0.308884136380E-04  0.106320880838E-02  0.160630939464                       0
                  4  -6.66159516911      0.425374863479E-04  0.356147253010E-03   1.11700425461                       0
                  5  -6.66167823148      0.320054225561E-04  0.938452518176E-03  0.526623049293                       0
                  6  -6.66171905092      0.475390252656E-04  0.485102258546E-03   1.50052860833                       0
                  7  -6.66175763083      0.275362411459E-04  0.707827275243E-03  0.572628082840                       0
                  8  -6.66177592415      0.223178124106E-04  0.343390595508E-03  0.611867591817                       0
                  9  -6.66178375546      0.235124112903E-04  0.257031111488E-03  0.801043358156                       0
                  10  -6.66179549296      0.129426857132E-04  0.514062222977E-03   0.00000000000                       3
                  11  -6.66179745989      0.213246432916E-04  0.635415852264E-04  0.858872444292                       0
                  12  -6.66179773022      0.145368557085E-04  0.332708059644E-04  0.138836932848E-02                   0
                  13  -6.66179778185      0.128936069566E-04  0.665416119287E-04  0.863240041799E-01                   0
                  14  -6.66180605204      0.123649070213E-04  0.388765731488E-03  0.148789193184                       0
                  15  -6.66180708565      0.190841014709E-04  0.480540871442E-04  0.793180952625                       0
                  16  -6.66180717166      0.143987318796E-04  0.155506292595E-04  0.229787435077E-01                   0
                  17  -6.66180718657      0.134019547452E-04  0.814241518957E-05  0.985235363746E-01                   0
                  18  -6.66180719082      0.130094339566E-04  0.426342394336E-05  0.118300627844                       0
                  19  -6.66180719292      0.128373712320E-04  0.426342394336E-05  0.126703205547                       0
                  20  -6.66180719345      0.126848320260E-04  0.426342394336E-05  0.127447467491                       0
